show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_of_release,year_of_release,countries
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"['Abigail Spencer', 'Chad Michael Murray', 'Katee Sackhoff', 'Emily Alyn Lind', 'Cicely Tyson', 'Andrea Frankle', 'Brad James', 'Lance E. Nichols']",United States,2021-08-01,2013,9,101,Horror Movies,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.,8.0,2021.0,[]
s359,Movie,The Net,Irwin Winkler,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Diane Baker', 'Wendy Gazelle', 'Ken Howard', 'Ray McKinnon', 'Daniel Schorr', 'L. Scott Caldwell', 'Robert Gossett']",United States,2021-08-01,1995,5,114,Thrillers,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name.",8.0,2021.0,[]
s360,Movie,The Original Kings of Comedy,Spike Lee,"['Steve Harvey', 'D.L. Hughley', 'Cedric the Entertainer', 'Bernie Mac']",United States,2021-08-01,2000,8,111,Stand-Up Comedy,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee.",8.0,2021.0,[]
s381,TV Show,The Flash,Glen Winter,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes', 'Tom Cavanagh', 'Jesse L. Martin', 'Neil Sandilands', 'Britne Oldford', 'Danielle Nicolet', 'Keiynan Lonsdale', 'Kim Engelbrecht']",United States,2021-07-28,2021,5,1260,Crime TV Shows,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,7.0,2021.0,[]
s601,Movie,The Game,David Fincher,"['Michael Douglas', 'Sean Penn', 'Deborah Kara Unger', 'James Rebhorn', 'Peter Donat', 'Carroll Baker', 'Anna Katarina', 'Armin Mueller-Stahl']",United States,2021-07-01,1997,2,129,Thrillers,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.,7.0,2021.0,[]
s608,Movie,The Strangers,Bryan Bertino,"['Liv Tyler', 'Scott Speedman', 'Gemma Ward', 'Kip Weeks', 'Laura Margolis', 'Glenn Howerton', 'Alex Fisher', 'Peter Clayton-Luce']",United States,2021-07-01,2008,9,85,Horror Movies,"A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders.",7.0,2021.0,[]
s623,Movie,Lying and Stealing,Matt Aselton,"['Theo James', 'Emily Ratajkowski', 'Fred Melamed', 'Ebon Moss-Bachrach', 'Isiah Whitlock Jr.', 'Evan Handler', 'Paul Jurewicz', 'John Gatins', 'Fernanda Andrade', 'Bob Stephenson']",United States,2021-06-30,2019,9,100,Thrillers,"A talented thief teams up with an aspiring actress to steal art from LA's high rollers. For their last heist, they're going for the ultimate: freedom.",6.0,2021.0,[]
s644,Movie,The Seventh Day,Justin P. Lange,"['Guy Pearce', 'Vadhir Derbez', 'Stephen Lang', 'Brady Jenness', 'Chris Galust', 'Robin Bartlett', 'Heath Freeman', 'Keith David']",United States,2021-06-24,2021,9,87,Horror Movies,An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it.,6.0,2021.0,[]
s677,TV Show,Riverdale,Rob Seidenglanz,"['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse', 'Marisol Nichols', 'Madelaine Petsch', 'Ashleigh Murray', 'Mädchen Amick', 'Luke Perry', 'Casey Cott', 'Charles Melton', 'Mark Consuelos', 'Lochlyn Munro', 'Peter Bryant', 'Colin Lawrence', 'Molly Ringwald', 'Asha Bromfield', 'Barclay Hope', 'Hayley Law', 'Martin Cummins', 'Sarah Habel', 'Nathalie Boltt', 'Skeet Ulrich']",United States,2021-06-19,2019,4,720,Crime TV Shows,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.",6.0,2021.0,[]
s729,Movie,The Devil Below,Bradley Parker,"['Alicia Sanz', 'Will Patton', 'Jonathan Sadowski', 'Adan Canto', 'Zach Avery', 'Chinaza Uche', 'Jesse LaTourette']",United States,2021-06-13,2021,8,89,Horror Movies,"When a team of researchers tries to find out what started a fire in a coal mine, they quickly discover that the disaster is anything but natural.",6.0,2021.0,[]
s767,Movie,Alan Saldaña: Locked Up,Alex Díaz,['Alan Saldaña'],Mexico,2021-06-03,2021,8,49,Stand-Up Comedy,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",6.0,2021.0,[]
s789,Movie,Domestic Disturbance,Harold Becker,"['John Travolta', 'Vince Vaughn', 'Teri Polo', ""Matt O'Leary"", 'Ruben Santiago-Hudson', 'Susan Floyd', 'Angelica Page', 'Steve Buscemi', 'Chris Ellis']",United States,2021-06-02,2001,8,89,Thrillers,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer – but soon begins to sense the boy is telling the truth.,6.0,2021.0,[]
s805,Movie,Population 436,Michelle MacLaren,"['Jeremy Sisto', 'Fred Durst', 'Charlotte Sullivan', 'David Ames', 'Cory Cassidy', 'James Blicq', 'Martin Trudel', 'Reva Timbers', 'Rick Skene', 'Peter Outerbridge', 'Dana Horrox']",Canada,2021-06-02,2006,5,93,Horror Movies,"A census taker sent to investigate why Rockwell Falls has had the same population, 436, for more than a century, soon wishes he hadn't taken the job.",6.0,2021.0,[]
s817,Movie,The Interpreter,Sydney Pollack,"['Nicole Kidman', 'Sean Penn', 'Catherine Keener', 'Jesper Christensen', 'Yvan Attal', 'Earl Cameron', 'George Harris', 'Michael Wright', 'Clyde Kusatsu', 'Eric Keenleyside', 'Hugo Speer']",United Kingdom,2021-06-02,2005,8,128,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.,6.0,2021.0,[]
s823,Movie,The Wind,Emma Tammi,"['Caitlin Gerard', 'Julia Goldani Telles', 'Ashley Zukerman', 'Miles Anderson', 'Dylan McTee']",United States,2021-06-02,2019,8,88,Horror Movies,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her.",6.0,2021.0,[]
s825,Movie,Welcome Home,George Ratliff,"['Aaron Paul', 'Emily Ratajkowski', 'Riccardo Scamarcio', 'Katy Louise Saunders', 'Alice Bellagamba']",United States,2021-06-02,2018,8,97,Thrillers,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone.",6.0,2021.0,[]
s827,Movie,Bo Burnham: Inside,Bo Burnham,['Bo Burnham'],United States,2021-05-30,2021,8,88,Stand-Up Comedy,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",5.0,2021.0,[]
s837,Movie,Ghost Lab,Paween Purijitpanya,"['Thanapob Leeratanakachorn', 'Paris Intarakomalyasut', 'Nuttanicha Dungwattanawanich', 'Suquan Bulakul', 'Rachanee Siralert', 'Chaleeda Gilbert', 'Nuttawut Jenmana', 'Alanta Potjes', 'Anchuleeon Buagaew', 'Jinjuta Rattanaburi']",Thailand,2021-05-27,2021,9,118,Horror Movies,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",5.0,2021.0,[]
s867,Movie,Small Town Crime,"Eshom Nelms, Ian Nelms","['John Hawkes', 'Anthony Anderson', 'Octavia Spencer', 'Robert Forster', 'Clifton Collins Jr.', 'Jeremy Ratchford', 'James Lafferty', 'Michael Vartan', 'Daniel Sunjata', 'Don Harvey', 'Stefanie Scott', 'Caity Lotz', 'Dale Dickey']",United States,2021-05-19,2017,8,92,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path.",5.0,2021.0,[]
s880,TV Show,Halston,Daniel Minahan,"['Ewan McGregor', 'Bill Pullman', 'Rebecca Dayan', 'David Pittu', 'Krysta Rodriguez', 'Rory Culkin', 'Vera Farmiga', 'Gian Franco Rodriguez', 'Sullivan Jones', 'Kelly Bishop', 'Dilone', 'James Waterston', 'Jason Kravits', 'Mary Beth Peil']",United States,2021-05-14,2021,8,180,TV Dramas,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,5.0,2021.0,[]
s963,Movie,The Strangers: Prey at Night,Johannes Roberts,"['Bailee Madison', 'Martin Henderson', 'Emma Bellomy', 'Lea Enslin', 'Damian Maffei', 'Christina Hendricks', 'Lewis Pullman']",United States,2021-04-30,2018,8,85,Horror Movies,Home-invasion horror comes to the trailer park when a family arrives at a mobile home community to find nobody there but a trio of masked murderers.,4.0,2021.0,[]
s972,Movie,Between Worlds,Maria Pulera,"['Nicolas Cage', 'Franka Potente', 'Penelope Mitchell', 'Garrett Clayton', 'Lydia Hearst', 'Hopper Penn']",Spain,2021-04-27,2018,10,91,Thrillers,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone.",4.0,2021.0,[]
s1014,Movie,Miss Sloane,John Madden,"['Jessica Chastain', 'Mark Strong', 'Gugu Mbatha-Raw', 'Michael Stuhlbarg', 'Raoul Bhaneja', 'John Lithgow', 'Sam Waterston', 'Chuck Shamata', 'Jake Lacy', 'Alison Pill', 'David Wilson Barnes']",France,2021-04-19,2016,7,132,Thrillers,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.,4.0,2021.0,[]
s1028,Movie,Crimson Peak,Guillermo del Toro,"['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam', 'Jim Beaver', 'Burn Gorman', 'Leslie Hope', 'Doug Jones', 'Jonathan Hyde', 'Bruce Gray']",Canada,2021-04-16,2015,8,119,Horror Movies,"After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets.",4.0,2021.0,[]
s1035,Movie,Synchronic,"Justin Benson, Aaron Moorhead","['Anthony Mackie', 'Jamie Dornan', 'Katie Aselton', 'Ally Ioannides', 'Ramiz Monsef', 'Bill Oberst Jr.']",United States,2021-04-16,2020,9,102,Thrillers,Two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.,4.0,2021.0,[]
s1047,Movie,Only Mine,Michael Civille,"['Amber Midthunder', 'Brett Zimmerman', 'Chris Browning', 'Walter Fauntleroy', 'Claudia Ferri', 'Lorenzo James Henrie', 'Ellen Wroe', 'Ashley Holliday Tavares', 'Nancy Linehan Charles', 'Jonna Walsh']",United States,2021-04-15,2019,9,88,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.",4.0,2021.0,[]
s1101,Movie,What Lies Below,Braden R. Duemmler,"['Ema Horvath', 'Trey Tucker', 'Mena Suvari', 'Haskiri Velazquez', 'Danny Corbo', 'Olan Montgomery', 'Troy Iwata']",United States,2021-04-04,2020,10,88,Horror Movies,"Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.",4.0,2021.0,[]
s1119,Movie,Insidious,James Wan,"['Patrick Wilson', 'Rose Byrne', 'Lin Shaye', 'Ty Simpkins', 'Barbara Hershey', 'Leigh Whannell', 'Angus Sampson', 'Andrew Astor', 'Joseph Bishara']",United States,2021-04-01,2010,4,103,Horror Movies,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",4.0,2021.0,[]
s1140,Movie,The Stepfather,Nelson McCormick,"['Dylan Walsh', 'Sela Ward', 'Penn Badgley', 'Amber Heard', 'Sherry Stringfield', 'Paige Turco', 'Jon Tenney', 'Nancy Linehan Charles', 'Marcuis Harris', 'Braeden Lemasters', 'Deirdre Lovejoy']",United States,2021-04-01,2009,6,102,Horror Movies,A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.,4.0,2021.0,[]
s1188,Movie,Deadly Illusions,Anna Elizabeth James,"['Kristin Davis', 'Dermot Mulroney', 'Greer Grammer', 'Shanola Hampton', 'Marie Wagenman', 'Shylo Molina', 'Abella Bala', 'Shaun Wu']",United States,2021-03-18,2021,9,115,Thrillers,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",3.0,2021.0,[]
s1190,Movie,Nate Bargatze: The Greatest Average American,Troy Miller,['Nate Bargatze'],United States,2021-03-18,2021,8,60,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special.",3.0,2021.0,[]
s1192,Movie,The Fluffy Movie,"Manny Rodriguez, Jay Lavender",['Gabriel Iglesias'],United States,2021-03-18,2014,9,101,Stand-Up Comedy,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations.",3.0,2021.0,[]
s1223,Movie,The Block Island Sound,"Kevin McManus, Matthew McManus","['Chris Sheffield', 'Michaela McManus', 'Neville Archambault', ""Ryan O'Flanagan"", 'Matilda Lawler', 'Jim Cummings', 'Jeremy Holm', 'Heidi Niedermeyer', 'Willie C. Carpenter', 'Matthew Lawler']",United States,2021-03-11,2020,9,99,Horror Movies,"On an island, a fisherman's family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger.",3.0,2021.0,[]
s1224,TV Show,Dealer,"Ange Basterga, Nicolas Lopez","['Abdramane Diakité', 'Mohamed Boudouh', 'Sébastien Houbani', 'Idir Azougli', 'Julien Meurice', 'Abdillah Assoumani', 'Jean-Toussaint Bernard', 'Romain Vissol']",France,2021-03-10,2021,8,180,Crime TV Shows,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,3.0,2021.0,[]
s1279,Movie,Brian Regan: On the Rocks,Troy Miller,['Brian Regan'],United States,2021-02-23,2021,9,58,Stand-Up Comedy,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins.",2.0,2021.0,[]
s1284,Movie,The Conjuring,James Wan,"['Vera Farmiga', 'Patrick Wilson', 'Lili Taylor', 'Ron Livingston', 'Shanley Caswell', 'Hayley McFarland', 'Joey King', 'Mackenzie Foy', 'Kyla Deaver', 'Shannon Kook']",United States,2021-02-21,2013,8,112,Horror Movies,"When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists.",2.0,2021.0,[]
s1285,Movie,The Conjuring 2,James Wan,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe', ""Frances O'Connor"", 'Lauren Esposito', 'Benjamin Haigh', 'Patrick McAuley', 'Simon McBurney', 'Maria Doyle Kennedy', 'Simon Delaney', 'Franka Potente']",Canada,2021-02-21,2016,8,134,Horror Movies,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence.",2.0,2021.0,[]
s1298,Movie,No Escape Room,Alex Merkin,"['Jeni Ross', 'Mark Ghanimé', 'Hamza Haq', 'Kathyrn Davis', 'Dennis Andres', 'Brianna Barnes']",United States,2021-02-18,2018,9,85,Horror Movies,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town.,2.0,2021.0,[]
s1310,Movie,"My Teacher, My Obsession",Damián Romay,"['Lucy Loken', 'Laura Bilgeri', 'Rusty Joiner', 'Alexandria Deberry', 'Dakota Bruton', 'Theresa Sutera', 'Vin Morreale Jr.', 'Shelby Alicea', 'Tyler Joseph Campbell', 'Lestonja Diaz']",United States,2021-02-15,2018,10,86,Thrillers,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.",2.0,2021.0,[]
s1316,Movie,Hate by Dani Rovira,Mario Briongos,['Dani Rovira'],Spain,2021-02-12,2021,10,83,Stand-Up Comedy,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special.",2.0,2021.0,[]
s1337,Movie,Blanche Gardin: I talk to myself,Maïa Sandoz,['Blanche Gardin'],France,2021-02-05,2017,9,88,Stand-Up Comedy,"Touching on bulimia, death and cat sodomy, this French actress and comedian is keen to push the envelope in a one-woman show with understated flair.",2.0,2021.0,[]
s1359,Movie,Shutter Island,Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas']",United States,2021-02-01,2010,8,139,Thrillers,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.,2.0,2021.0,[]
s1368,Movie,Hell Fest,Gregory Plotkin,"['Amy Forsyth', 'Reign Edwards', 'Bex Taylor-Klaus', 'Tony Todd', 'Christian James', 'Matt Mercurio', 'Michael Tourek', 'Courtney Dietz', 'Stephen Conroy']",United States,2021-01-31,2018,8,89,Horror Movies,"A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park.",1.0,2021.0,[]
s1394,Movie,Sightless,Cooper Karl,"['Madelaine Petsch', 'Alexander Koch', 'December Ensminger', 'Lee Jones']",United States,2021-01-20,2020,10,89,Thrillers,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.,1.0,2021.0,[]
s1399,Movie,Death of Me,Darren Lynn Bousman,"['Maggie Q', 'Luke Hemsworth', 'Alex Essoe', 'Ingkarat Jaraswongkosol', 'Kelly B. Jones', 'Caledonia Burr']",United States,2021-01-16,2020,8,94,Horror Movies,"With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other.",1.0,2021.0,[]
s1410,Movie,The Vanished,Peter Facinelli,"['Thomas Jane', 'Anne Heche', 'Jason Patric', 'John D. Hickman', 'Peter Facinelli', 'Alex Haydon', 'Aleksei Archer', 'Kristopher Wente']",United States,2021-01-15,2020,8,115,Thrillers,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.",1.0,2021.0,[]
s1448,Movie,Case 39,Christian Alvart,"['Renée Zellweger', 'Jodelle Ferland', 'Ian McShane', 'Bradley Cooper', 'Callum Keith Rennie', 'Adrian Lester', ""Kerry O'Malley"", 'Cynthia Stevenson', 'Alexander Conti', 'Philip Cabrita']",United States,2021-01-01,2009,4,111,Horror Movies,A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.,1.0,2021.0,[]
s1451,Movie,Eddie Murphy: Raw,Robert Townsend,['Eddie Murphy'],United States,2021-01-01,1987,5,90,Stand-Up Comedy,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.",1.0,2021.0,[]
s1503,Movie,London Hughes: To Catch a D*ck,Kristian Mercado,['London Hughes'],United States,2020-12-22,2020,9,68,Stand-Up Comedy,Bawdy comedian and television presenter London Hughes revisits her past in this acclaimed breakout special filled with unfiltered tales and wild stories.,12.0,2020.0,[]
s1513,Movie,Rhys Nicholson Live at the Athenaeum,Thomas Toby Parkinson,['Rhys Nicholson'],United Kingdom,2020-12-20,2020,9,66,Stand-Up Comedy,"Rhys Nicholson flexes his biting humor as he discusses horse tranquilizers, angry letters from viewers, and more in this stand-up special.",12.0,2020.0,[]
s1537,Movie,Incarnate,Brad Peyton,"['Aaron Eckhart', 'Carice van Houten', 'Catalina Sandino Moreno', 'David Mazouz', ""Keir O'Donnell"", 'Matt Nable', 'Emily Jackson', ""Paul Vincent O'Connor"", 'Natalija Nogulich', 'John Pirruccello', 'Mark Steger', 'Emjay Anthony', 'Karolina Wydra']",United States,2020-12-16,2016,9,87,Horror Movies,An unconventional demon hunter faces his greatest challenge when he steps inside the subconscious mind of a boy possessed by a powerful entity.,12.0,2020.0,[]
s1543,Movie,Vir Das: Outside In - The Lockdown Special,Vir Das,['Vir Das'],India,2020-12-16,2020,8,50,Stand-Up Comedy,Stage banter takes on a different — deeper — meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.,12.0,2020.0,[]
s1611,Movie,Angels & Demons,Ron Howard,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino', 'Nikolaj Lie Kaas', 'Armin Mueller-Stahl', 'Thure Lindhardt', 'David Pasquesi', 'Cosimo Fusco']",United States,2020-12-01,2009,5,139,Thrillers,A Harvard symbologist races to uncover clues that will help stop an attack on the Vatican by a secret society looking to retaliate for old persecutions.,12.0,2020.0,[]
s1625,Movie,The Da Vinci Code,Ron Howard,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Jean Reno', 'Paul Bettany', 'Alfred Molina', 'Jürgen Prochnow', 'Jean-Yves Berteloot', 'Etienne Chicot', 'Jean-Pierre Marielle']",United States,2020-12-01,2006,6,149,Thrillers,"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci.",12.0,2020.0,[]
s1632,Movie,Rust Creek,Jen McGowan,"['Hermione Corfield', 'Jay Paulson', ""Sean O'Bryan"", 'Micah Hauptman', 'Micah Hauptman', 'Daniel R. Hill', 'Jeremy Glazer', 'John Marshall Jones', 'Laura Guzman', 'Jake Kidwell']",United States,2020-11-30,2018,8,108,Thrillers,A wrong turn in the woods becomes a fight for her life when a career-seeking college student runs into two outlaw brothers looking to cook up trouble.,11.0,2020.0,[]
s1638,Movie,Don’t Listen,Ángel Gómez Hernández,"['Rodolfo Sancho', 'Ana Fernández', 'Ramón Barea', 'Belén Fabra', 'Lucas Blas']",Spain,2020-11-27,2020,8,98,Horror Movies,"After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert.",11.0,2020.0,[]
s1646,Movie,Larry the Cable Guy: Remain Seated,Brian Volk-Weiss,['Larry the Cable Guy'],United States,2020-11-26,2020,10,68,Stand-Up Comedy,"With his signature call to ""Git-R-Done,"" Larry muses on swampy weather, late-night shopping at Walmart and other raunchy tales of life in rural America.",11.0,2020.0,[]
s1649,Movie,Ghosts of War,Eric Bress,"['Brenton Thwaites', 'Theo Rossi', 'Skylar Astin', 'Kyle Gallner', 'Alan Ritchson', 'Billy Zane', 'Shaun Toub']",United Kingdom,2020-11-25,2020,10,95,Horror Movies,"Five, battle-worn Allied soldiers guarding a chateau previously occupied by Nazis start experiencing unexplained and terrifying supernatural horrors.",11.0,2020.0,[]
s1651,Movie,Shawn Mendes: Live in Concert,Paul Dugdale,['Shawn Mendes'],United Kingdom,2020-11-25,2020,10,87,Music & Musicals,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",11.0,2020.0,[]
s1654,Movie,Andhakaaram,V Vignarajan,"['Vinoth Kishan', 'Arjun Das', 'Pooja Ramachandran', 'Kumar Natarajan', 'Misha Ghoshal', 'Arul Vincent', 'Chenthu Mohan', 'Pradeep Kalipurayath']",India,2020-11-24,2020,7,171,Horror Movies,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",11.0,2020.0,[]
s1687,Movie,Kevin Hart: Zero F**ks Given,Leslie Small,['Kevin Hart'],United States,2020-11-17,2020,9,70,Stand-Up Comedy,"Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19.",11.0,2020.0,[]
